"","AOMICID","income","female","education","hand","econ.ideology","econ.ideology.scale","social.ideology","social.ideology.scale","economic.identity","economic.identity.scale","social.identity","social.identity.scale","political.interest","political.interest.scale","non.voting","unfaithful.voting","vote.2010","vote.next","alpha","beta","gamma","delta","Fscale","ACC","rAmyg","rAmygW","lAmyg"
"800","828","Beneden-modaal (minder dan 32500)",0,NA,"Linkshandig",3.5,0.827808744695738,2.25,0.915956519507576,4,0.127260701341909,4,0.530097854191498,4,-0.190592993578915,1,6,"PVV","CDA",-0.00291861251503796,0.555167388326278,-1.05944584968202,0.895510184587043,0.5,346,739,460,728
"801","829","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",0,NA,"Rechtshandig",3,0.151531092249389,2.25,0.915956519507576,4,0.127260701341909,4,0.530097854191498,6.33333333333333,1.20851662220638,0,6,"VVD","VVD",1.20288530084065,0.905416971013799,-1.05944584968202,-0.719087978645954,0.3125,335,664,404,621
"802","830","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",1,NA,"Rechtshandig",2.25,-0.862885386420134,2,0.497679833195258,3,-0.483084154845155,3,-0.24066282671439,4.33333333333333,0.00927980867612666,1,3,"PvdA","PvdA",0.399016025270191,0.204917805638757,-0.281209274299647,-0.180888590901622,0.375,335,556,337,610
"803","831","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",0,NA,"Rechtshandig",2.25,-0.862885386420134,2.25,0.915956519507576,5,0.737605557528972,4,0.530097854191498,3,-0.790211400344042,1,1,"PVV","PVV",1.60481993862588,-0.845830942423806,2.3129126436416,1.16460987845921,0.5625,345,653,410,774
"804","832","Beneden-modaal (minder dan 32500)",1,NA,"Rechtshandig",2.5,-0.524746560196959,1,-1.17542691205401,1,-1.70377386721928,1,-1.78218418852617,6.33333333333333,1.20851662220638,1,1,NA,NA,-0.00291861251503796,1.60591613638884,-0.800033657887896,0.626410490714877,0.625,335,592,366,700
"805","833","Beneden-modaal (minder dan 32500)",0,NA,"Rechtshandig",3.25,0.489669918472564,2.25,0.915956519507576,5,0.737605557528972,5,1.30085853509739,5,0.409025413186211,1,1,"PVV","PVV",0.80095066305542,0.204917805638757,0.237615109288601,-0.180888590901622,0.1875,319,679,425,679
"806","834","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",0,NA,"Rechtshandig",1,-2.55357951753601,2.25,0.915956519507576,4,0.127260701341909,4,0.530097854191498,3.33333333333333,-0.590338598089,1,7,"D66","PvdA",-0.404853250300267,1.60591613638884,1.2752638764651,0.0882111029705443,0.5625,335,656,406,694
"807","835","Beneden-modaal (minder dan 32500)",0,NA,"Rechtshandig",3,0.151531092249389,1.75,0.0794031468829401,4,0.127260701341909,5,1.30085853509739,1.33333333333333,-1.78957541161925,0,7,"PVV","PVV",-0.404853250300267,-0.495581359736285,1.2752638764651,1.16460987845921,0.4375,346,766,478,728
"808","836","Modaal tot dubbel-modaal (32500-65000 euro in 2010)",1,NA,"Rechtshandig",2.75,-0.186607733973785,1.5,-0.338873539429378,2,-1.09342901103222,2,-1.01142350762028,6.33333333333333,1.20851662220638,1,2,"PvdA","GroenLinks",1.20288530084065,-0.495581359736285,0.237615109288601,-0.180888590901622,0.625,305,719,450,629
"809","837","Beneden-modaal (minder dan 32500)",1,NA,"Rechtshandig",1.5,-1.87730186508966,1,-1.17542691205401,4,0.127260701341909,5,1.30085853509739,1,-1.98944821387429,1,4,"PVV","Partij voor de dieren",1.60481993862588,0.905416971013799,-0.021797082505523,-0.988187672518121,0.3125,322,646,400,662
