participant_id,age,sex,education_level,background_SES,social.ideology,social.ideology.scale,social.identity,social.identity.scale,political.interest,political.interest.scale
sub-0170,25.25,female,medium,3.5,1.75,0.0794031468829401,3,-0.24066282671439,,
sub-0174,24.25,female,high,4.5,3.0,2.17078657844453,2,-1.01142350762028,,
sub-0176,23.75,female,high,4.5,1.0,-1.17542691205401,1,-1.78218418852617,,
sub-0180,25.5,male,low,2.5,1.75,0.0794031468829401,4,0.530097854191498,,
sub-0181,25.0,female,high,3.5,1.75,0.0794031468829401,3,-0.24066282671439,,
sub-0182,25.5,female,high,6.0,1.25,-0.757150225741696,3,-0.24066282671439,,
sub-0184,22.5,female,high,5.0,1.75,0.0794031468829401,4,0.530097854191498,,
sub-0185,20.5,female,high,5.0,2.25,0.915956519507576,5,1.30085853509739,,
sub-0188,24.0,male,high,5.0,1.5,-0.338873539429378,3,-0.24066282671439,,
sub-0198,22.25,male,medium,3.0,1.75,0.0794031468829401,4,0.530097854191498,,
sub-0199,21.75,male,medium,4.0,2.75,1.75250989213221,7,2.84237989690916,,
sub-0200,20.75,male,medium,4.0,2.75,1.75250989213221,3,-0.24066282671439,,
sub-0204,21.5,female,medium,3.0,1.75,0.0794031468829401,4,0.530097854191498,,
sub-0208,22.25,male,high,5.5,2.5,1.33423320581989,2,-1.01142350762028,,
sub-0210,21.5,male,high,6.0,1.75,0.0794031468829401,4,0.530097854191498,,
sub-0212,20.75,male,medium,4.0,1.5,-0.338873539429378,1,-1.78218418852617,,
sub-0213,22.0,female,medium,3.0,1.5,-0.338873539429378,4,0.530097854191498,,
sub-0217,25.25,female,high,5.0,1.5,-0.338873539429378,4,0.530097854191498,,
sub-0218,21.0,female,low,4.5,2.25,0.915956519507576,6,2.07161921600328,,
sub-0220,24.75,female,high,3.5,1.5,-0.338873539429378,4,0.530097854191498,,
sub-0221,21.25,female,medium,4.5,1.75,0.0794031468829401,2,-1.01142350762028,,
sub-0222,22.25,male,medium,4.5,2.5,1.33423320581989,3,-0.24066282671439,,
sub-0224,25.5,male,medium,3.5,1.25,-0.757150225741696,3,-0.24066282671439,,
sub-0226,23.5,female,medium,5.0,1.25,-0.757150225741696,5,1.30085853509739,,
sub-0229,25.25,male,high,5.0,1.5,-0.338873539429378,4,0.530097854191498,,
sub-0231,20.75,male,medium,4.5,1.25,-0.757150225741696,3,-0.24066282671439,,
sub-0235,22.25,male,medium,4.0,1.75,0.0794031468829401,2,-1.01142350762028,,
sub-0239,23.0,male,medium,6.0,2.25,0.915956519507576,3,-0.24066282671439,,
sub-0240,25.0,male,medium,2.0,1.75,0.0794031468829401,4,0.530097854191498,,
sub-0242,24.0,male,high,5.0,1.0,-1.17542691205401,2,-1.01142350762028,,
sub-0244,21.5,male,medium,6.0,1.25,-0.757150225741696,3,-0.24066282671439,,
sub-0245,22.0,male,medium,4.0,3.0,2.17078657844453,3,-0.24066282671439,,
sub-0246,22.5,male,medium,5.0,1.75,0.0794031468829401,3,-0.24066282671439,,
sub-0248,20.75,male,high,4.5,1.25,-0.757150225741696,2,-1.01142350762028,,
sub-0249,22.5,female,high,4.0,1.0,-1.17542691205401,4,0.530097854191498,,
sub-0250,21.0,male,medium,5.0,1.25,-0.757150225741696,4,0.530097854191498,,
sub-0253,24.5,male,high,6.0,2.0,0.497679833195258,7,2.84237989690916,,
sub-0255,23.25,female,high,3.0,1.75,0.0794031468829401,5,1.30085853509739,,
sub-0257,23.75,female,high,3.0,1.0,-1.17542691205401,4,0.530097854191498,,
sub-0261,21.0,male,medium,4.0,2.25,0.915956519507576,2,-1.01142350762028,,
sub-0262,20.75,female,high,4.0,2.0,0.497679833195258,3,-0.24066282671439,,
sub-0264,24.0,female,medium,3.5,1.75,0.0794031468829401,4,0.530097854191498,,
sub-0266,24.25,female,high,5.0,1.0,-1.17542691205401,1,-1.78218418852617,,
sub-0267,21.25,female,high,2.0,1.75,0.0794031468829401,2,-1.01142350762028,,
sub-0270,25.0,male,high,5.0,1.25,-0.757150225741696,3,-0.24066282671439,,
sub-0274,25.5,male,high,5.5,2.0,0.497679833195258,3,-0.24066282671439,,
sub-0275,25.5,male,high,5.5,1.75,0.0794031468829401,3,-0.24066282671439,,
sub-0276,23.5,male,medium,5.0,1.25,-0.757150225741696,2,-1.01142350762028,,
sub-0277,20.75,male,medium,3.0,1.25,-0.757150225741696,4,0.530097854191498,,
sub-0279,24.25,female,medium,2.0,1.75,0.0794031468829401,3,-0.24066282671439,,
sub-0280,23.75,male,high,5.0,1.0,-1.17542691205401,3,-0.24066282671439,,
sub-0285,25.5,female,medium,2.0,1.75,0.0794031468829401,1,-1.78218418852617,,
sub-0286,22.0,female,medium,2.0,1.25,-0.757150225741696,2,-1.01142350762028,,
sub-0287,23.25,female,medium,4.0,1.0,-1.17542691205401,4,0.530097854191498,,
sub-0288,20.5,female,high,6.0,1.0,-1.17542691205401,1,-1.78218418852617,,
sub-0289,20.5,male,high,4.5,1.25,-0.757150225741696,3,-0.24066282671439,,
sub-0292,21.5,female,medium,2.0,1.5,-0.338873539429378,3,-0.24066282671439,,
sub-0297,20.0,female,medium,2.5,1.75,0.0794031468829401,2,-1.01142350762028,,
sub-0300,23.5,male,medium,3.0,1.0,-1.17542691205401,7,2.84237989690916,,
sub-0302,23.75,female,medium,3.0,1.0,-1.17542691205401,3,-0.24066282671439,,
sub-0303,24.5,male,low,2.5,1.25,-0.757150225741696,2,-1.01142350762028,,
