"","participant_id","age","sex","education_level","background_SES","social.ideology","social.ideology.scale","social.identity","social.identity.scale","political.interest","political.interest.scale"
"56","sub-0057",24.75,"male","medium",5,1,-1.17542691205401,1,-1.78218418852617,NA,NA
"57","sub-0058",24.5,"male","medium",4,1.5,-0.338873539429378,2,-1.01142350762028,NA,NA
"58","sub-0059",24.25,"male","low",3.5,1.25,-0.757150225741696,3,-0.24066282671439,NA,NA
"59","sub-0060",24.25,"male","high",3,1.5,-0.338873539429378,3,-0.24066282671439,NA,NA
"60","sub-0061",25.75,"female","medium",3,1.75,0.0794031468829401,3,-0.24066282671439,NA,NA
"61","sub-0062",20.25,"female","high",2,1.5,-0.338873539429378,1,-1.78218418852617,NA,NA
"62","sub-0063",23.25,"male","medium",3,1,-1.17542691205401,1,-1.78218418852617,NA,NA
"63","sub-0064",22.5,"female","medium",4.5,2,0.497679833195258,5,1.30085853509739,NA,NA
"64","sub-0065",20.5,"female","low",2,1,-1.17542691205401,2,-1.01142350762028,NA,NA
"65","sub-0066",23.25,"male","high",6,2,0.497679833195258,4,0.530097854191498,NA,NA
"66","sub-0067",21,"female","high",5,2.25,0.915956519507576,3,-0.24066282671439,NA,NA
"67","sub-0068",20.5,"male","medium",3.5,1.75,0.0794031468829401,3,-0.24066282671439,NA,NA
"68","sub-0069",23.5,"female","high",2,1,-1.17542691205401,4,0.530097854191498,NA,NA
"69","sub-0070",23.75,"female","medium",3,1.75,0.0794031468829401,4,0.530097854191498,NA,NA
"70","sub-0071",21,"male","high",6,2,0.497679833195258,1,-1.78218418852617,NA,NA
"71","sub-0072",21.25,"female","medium",5,1.25,-0.757150225741696,1,-1.78218418852617,NA,NA
"72","sub-0073",20.75,"male","low",3,1.25,-0.757150225741696,4,0.530097854191498,NA,NA
"73","sub-0074",24.75,"female","high",5,1.5,-0.338873539429378,4,0.530097854191498,NA,NA
"74","sub-0075",23.5,"male","high",2,2.5,1.33423320581989,4,0.530097854191498,NA,NA
"75","sub-0076",25.75,"male","medium",4,3,2.17078657844453,4,0.530097854191498,NA,NA
"76","sub-0077",25.25,"male","medium",3.5,1.75,0.0794031468829401,3,-0.24066282671439,NA,NA
"77","sub-0079",24.75,"female","medium",3,1.5,-0.338873539429378,4,0.530097854191498,NA,NA
"78","sub-0080",20.5,"female","high",3.5,1.5,-0.338873539429378,6,2.07161921600328,NA,NA
"79","sub-0081",21,"female","low",3.5,3,2.17078657844453,3,-0.24066282671439,NA,NA
"80","sub-0082",25.5,"male","high",6,1.75,0.0794031468829401,3,-0.24066282671439,NA,NA
"81","sub-0083",24.5,"male","high",5,3.75,3.42561663738148,5,1.30085853509739,NA,NA
"82","sub-0084",20.25,"female","medium",3,1.75,0.0794031468829401,3,-0.24066282671439,NA,NA
"83","sub-0085",22,"male","high",3,2.25,0.915956519507576,2,-1.01142350762028,NA,NA
"84","sub-0086",22.25,"female","medium",3.5,3.5,3.00733995106917,4,0.530097854191498,NA,NA
"85","sub-0087",22.25,"male","high",5,1,-1.17542691205401,2,-1.01142350762028,NA,NA
"86","sub-0088",24.5,"female","medium",2,1,-1.17542691205401,4,0.530097854191498,NA,NA
"87","sub-0089",24.5,"female","medium",2,1.5,-0.338873539429378,4,0.530097854191498,NA,NA
"88","sub-0090",22.5,"male","high",5,1.25,-0.757150225741696,4,0.530097854191498,NA,NA
"89","sub-0091",20.5,"female","medium",4.5,1.25,-0.757150225741696,2,-1.01142350762028,NA,NA
"90","sub-0092",22.75,"female","high",6,2.5,1.33423320581989,2,-1.01142350762028,NA,NA
"91","sub-0093",21.5,"female","high",6,2.5,1.33423320581989,3,-0.24066282671439,NA,NA
"92","sub-0094",22,"female","medium",6,1.5,-0.338873539429378,2,-1.01142350762028,NA,NA
"93","sub-0095",20.75,"female","medium",4,1.25,-0.757150225741696,1,-1.78218418852617,NA,NA
"94","sub-0096",20.25,"male","medium",3.5,1.5,-0.338873539429378,4,0.530097854191498,NA,NA
"95","sub-0097",22.75,"female","high",4,1.25,-0.757150225741696,5,1.30085853509739,NA,NA
"96","sub-0098",21.75,"male","low",3,1,-1.17542691205401,1,-1.78218418852617,NA,NA
"97","sub-0099",23,"female","medium",4.5,1.75,0.0794031468829401,3,-0.24066282671439,NA,NA
"98","sub-0100",25.75,"male","high",4,1.5,-0.338873539429378,4,0.530097854191498,NA,NA
"99","sub-0101",22,"female","high",5,1.25,-0.757150225741696,5,1.30085853509739,NA,NA
"100","sub-0102",25.25,"male","high",6,1.25,-0.757150225741696,4,0.530097854191498,NA,NA
"101","sub-0103",25,"female","high",5,1,-1.17542691205401,3,-0.24066282671439,NA,NA
"102","sub-0105",22.5,"male","high",2,1.5,-0.338873539429378,4,0.530097854191498,NA,NA
"103","sub-0106",23,"male","high",3,1.75,0.0794031468829401,4,0.530097854191498,NA,NA
"104","sub-0107",25.25,"female","low",2,1.5,-0.338873539429378,4,0.530097854191498,NA,NA
"105","sub-0108",23.25,"female","low",5,1.25,-0.757150225741696,2,-1.01142350762028,NA,NA
"106","sub-0109",21.25,"male","medium",3.5,1.5,-0.338873539429378,3,-0.24066282671439,NA,NA
"107","sub-0110",21.75,"female","high",6,2,0.497679833195258,4,0.530097854191498,NA,NA
"108","sub-0111",21.75,"male","low",6,1,-1.17542691205401,4,0.530097854191498,NA,NA
"109","sub-0112",24.5,"male","high",3,1.5,-0.338873539429378,3,-0.24066282671439,NA,NA
"110","sub-0113",23.5,"male","low",2,3,2.17078657844453,4,0.530097854191498,NA,NA
"111","sub-0114",23.75,"male","high",5,4.25,4.26217001000612,4,0.530097854191498,NA,NA
"112","sub-0115",24.25,"male","high",3.5,1.25,-0.757150225741696,2,-1.01142350762028,NA,NA
"113","sub-0117",20.25,"female","high",5,2.5,1.33423320581989,4,0.530097854191498,NA,NA
"114","sub-0118",23.25,"female","medium",5,1.5,-0.338873539429378,2,-1.01142350762028,NA,NA
"115","sub-0119",24,"male","medium",4,1.5,-0.338873539429378,4,0.530097854191498,NA,NA
"116","sub-0120",25.5,"male","high",5,1.5,-0.338873539429378,3,-0.24066282671439,NA,NA
"117","sub-0121",22.75,"female","medium",3.5,1.5,-0.338873539429378,4,0.530097854191498,NA,NA
"118","sub-0122",24.75,"male","medium",4,1.25,-0.757150225741696,1,-1.78218418852617,NA,NA
"119","sub-0123",21.25,"female","medium",5,2,0.497679833195258,1,-1.78218418852617,NA,NA
"120","sub-0124",21.25,"female","high",4,2.25,0.915956519507576,5,1.30085853509739,NA,NA
"121","sub-0125",24.75,"male","medium",5,2,0.497679833195258,4,0.530097854191498,NA,NA
"122","sub-0126",20.5,"female","low",6,2.25,0.915956519507576,4,0.530097854191498,NA,NA
"123","sub-0127",25.25,"female","medium",2,1.5,-0.338873539429378,3,-0.24066282671439,NA,NA
"124","sub-0128",21,"male","high",4,2.5,1.33423320581989,4,0.530097854191498,NA,NA
"125","sub-0129",22,"male","medium",3.5,1,-1.17542691205401,3,-0.24066282671439,NA,NA
"126","sub-0130",21.75,"female","medium",5,1,-1.17542691205401,3,-0.24066282671439,NA,NA
"127","sub-0131",21,"female","medium",4,1.25,-0.757150225741696,3,-0.24066282671439,NA,NA
"128","sub-0132",23.75,"male","high",4,1.25,-0.757150225741696,2,-1.01142350762028,NA,NA
"129","sub-0133",23.25,"female","medium",2,1.5,-0.338873539429378,4,0.530097854191498,NA,NA
"130","sub-0134",24.25,"female","high",4.5,1.25,-0.757150225741696,4,0.530097854191498,NA,NA
"131","sub-0135",23.5,"male","high",4,3,2.17078657844453,4,0.530097854191498,NA,NA
"132","sub-0136",20,"female","high",5.5,1.75,0.0794031468829401,4,0.530097854191498,NA,NA
"133","sub-0137",22,"female","high",6,2.5,1.33423320581989,4,0.530097854191498,NA,NA
"134","sub-0138",22.25,"female","medium",2,1.25,-0.757150225741696,4,0.530097854191498,NA,NA
"135","sub-0139",20,"male","medium",5,1,-1.17542691205401,3,-0.24066282671439,NA,NA
"136","sub-0140",23,"male","medium",2,1.25,-0.757150225741696,3,-0.24066282671439,NA,NA
"137","sub-0141",24,"female","medium",4,2,0.497679833195258,5,1.30085853509739,NA,NA
"138","sub-0142",22.25,"female","medium",2.5,1.5,-0.338873539429378,7,2.84237989690916,NA,NA
"139","sub-0143",21.75,"female","medium",3.5,1.75,0.0794031468829401,2,-1.01142350762028,NA,NA
"140","sub-0144",21.25,"female","high",5,2.75,1.75250989213221,6,2.07161921600328,NA,NA
"141","sub-0145",20.25,"female","medium",3,1.5,-0.338873539429378,3,-0.24066282671439,NA,NA
"142","sub-0146",25,"male","high",4,1,-1.17542691205401,3,-0.24066282671439,NA,NA
"143","sub-0147",25.75,"male","medium",2,1.25,-0.757150225741696,4,0.530097854191498,NA,NA
"144","sub-0148",23.75,"male","high",6,2,0.497679833195258,5,1.30085853509739,NA,NA
"145","sub-0149",25.25,"male","medium",2,1.25,-0.757150225741696,2,-1.01142350762028,NA,NA
"146","sub-0150",22.25,"female","high",6,3,2.17078657844453,4,0.530097854191498,NA,NA
"147","sub-0151",22,"male","medium",2.5,2.25,0.915956519507576,3,-0.24066282671439,NA,NA
"148","sub-0152",23.75,"female","high",3,1,-1.17542691205401,6,2.07161921600328,NA,NA
"149","sub-0153",24.25,"male","high",6,1.5,-0.338873539429378,3,-0.24066282671439,NA,NA
"150","sub-0154",21,"female","medium",4,1,-1.17542691205401,3,-0.24066282671439,NA,NA
"151","sub-0155",25.25,"female","medium",2,1.5,-0.338873539429378,3,-0.24066282671439,NA,NA
"152","sub-0156",25.25,"female","high",3.5,1,-1.17542691205401,3,-0.24066282671439,NA,NA
"153","sub-0157",22.75,"male","high",5.5,2.25,0.915956519507576,4,0.530097854191498,NA,NA
"154","sub-0158",23.5,"male","medium",4.5,1.25,-0.757150225741696,4,0.530097854191498,NA,NA
"155","sub-0159",20.25,"male","medium",6,1,-1.17542691205401,4,0.530097854191498,NA,NA
"156","sub-0160",23.25,"female","low",3,1.5,-0.338873539429378,4,0.530097854191498,NA,NA
"157","sub-0161",23.5,"male","medium",5,2.25,0.915956519507576,2,-1.01142350762028,NA,NA
"158","sub-0162",23.5,"female","medium",3,1.25,-0.757150225741696,3,-0.24066282671439,NA,NA
"159","sub-0163",23.5,"male","medium",3.5,1.5,-0.338873539429378,3,-0.24066282671439,NA,NA
"160","sub-0164",22.5,"female","high",3,1.75,0.0794031468829401,4,0.530097854191498,NA,NA
"161","sub-0165",25.25,"female","medium",3,1.75,0.0794031468829401,4,0.530097854191498,NA,NA
"162","sub-0166",24.75,"female","high",2,1.75,0.0794031468829401,3,-0.24066282671439,NA,NA
